UID,SAMPLEID,STATION,MODEL,O,E,OE,MMI,AIM_rtg,MODELTEST,COUNT,INVASIVE_MACRO
1612620469,155900,XE-LS-5018,WY2018_HIGH VALLEYS,9,11.23125118,0.801335475,,Fair,pass,300,ABSENT
31EF6CED-6841-4C07-A204-B6E695F8F9DA,158421,RA-LS-10073,WY2018_WYOMING BASIN,5,8.840261869,0.565594105,,Poor,pass,270,ABSENT
DD2D88D3-C75C-43FB-A59F-7559138BD83A,158422,RA-LS-10329,WY2018_WYOMING BASIN,8,8.831921666,0.905805135,,Good,pass,300,ABSENT
8A89979A-F3AF-42F0-A203-4F265C3ED792,158423,RA-LS-11865,WY2018_WYOMING BASIN,7,8.912901556,0.785378359,,Fair,pass,300,ABSENT
DAE8976C-37A3-445F-840C-B6010411503E,158424,RA-LS-12441,WY2018_WYOMING BASIN,10,8.769346798,1.140335789,,Good,pass,300,ABSENT
A74124D8-97F4-4CDD-A746-06F5617685F3,158425,RA-LS-12697,WY2018_WYOMING BASIN,9,8.802484306,1.022438631,,Good,pass,272,ABSENT
EE59DF23-CA33-41A1-919D-C21DF9CC1CB3,158426,RA-RV-10322,WY2018_SE PLAINS,5,8.926615667,0.560122692,,Fair,pass,292,ABSENT
09918F19-1BD2-44EA-827D-F41FB0AE6151,158427,RA-RV-10578,WY2018_WYOMING BASIN,5,8.875354822,0.563357759,,Poor,pass,300,ABSENT
0B27E163-43AA-4995-9751-3560BF13F0B1,158428,RA-SS-10137,WY2018_SOUTH FH LARAMIE RANGE,13,15.84676377,0.820356774,,Fair,pass,300,ABSENT
22977BF5-CF65-4B85-9B0A-90556A2266AC,158429,RA-SS-10265,WY2018_WYOMING BASIN,6,6.820197626,0.879739903,,Good,pass,300,ABSENT
9E419CCD-7A39-4F13-A0E4-A4E998F6F70A,158430,RA-SS-10386,WY2018_WYOMING BASIN,4,6.739963069,0.593475062,,Poor,pass,300,ABSENT
B649C7F8-37D0-45BF-A4AD-95414F62BDCA,158431,RA-SS-10521,WY2018_WYOMING BASIN,4,6.137108379,0.651772749,,Fair,pass,300,ABSENT
2CAF0CA6-D215-45B5-82A4-F99054A0E656,158432,RA-SS-10649,WY2018_WYOMING BASIN,1,8.499175616,0.11765847,,Poor,pass,300,ABSENT
C006E1CD-EC91-48B5-8145-717C458D5C0A,158433,RA-SS-10777,WY2018_WYOMING BASIN,3,7.138998994,0.420226982,,Poor,pass,293,ABSENT
109EB957-6160-4705-AE5D-65274948DC88,158434,RA-SS-10834,WY2018_SOUTH FH LARAMIE RANGE,6,11.7339724,0.511335786,,Poor,pass,300,ABSENT
86B95D79-9E9D-43D4-98B2-B8A2A1479243,158435,RA-SS-10841,WY2018_WYOMING BASIN,5,7.545407536,0.662654731,,Fair,pass,133,ABSENT
84E6F255-C1F8-4E22-B926-4001823CBDAD,158436,RA-SS-11033,WY2018_SOUTH FH LARAMIE RANGE,5,9.813733031,0.509490118,,Poor,pass,300,ABSENT
75C5908D-1DB7-4A71-A630-DB01A21AE6C0,158437,RA-SS-11097,WY2018_WYOMING BASIN,4,7.045481148,0.567739792,,Poor,pass,299,ABSENT
