scientific_name,model_abbreviation
Oecetis disjuncta,CSCI
Oligochaeta,CSCI
Oligophlebodes,CSCI
Onocosmoecus,CSCI
Ophidonais serpentina,CSCI
Optioservus,CSCI
Ordobrevia nubifera,CSCI
Oreodytes,CSCI
Oreogeton,CSCI
Orohermes crepusculus,CSCI
Orthocladiinae,CSCI
Orthocladius complex,CSCI
Orthocladius lignicola,CSCI
Ostracoda,CSCI
Pagastia,CSCI
Parachaetocladius,CSCI
Paracladopelma,CSCI
Paraleptophlebia,CSCI
Parametriocnemus,CSCI
Paraphaenocladius,CSCI
Parapsyche,CSCI
Paratanytarsus,CSCI
Paratendipes,CSCI
Pedomoecus sierra,CSCI
Peltodytes,CSCI
Pentaneura,CSCI
Pericoma/ Telmatoscopus,CSCI
Perlidae,CSCI
Perlodidae,CSCI
Perlomyia,CSCI
Phaenopsectra,CSCI
Physa,CSCI
Pisidium,CSCI
Plecoptera,CSCI
Polycentropus,CSCI
Polypedilum,CSCI
Postelichus,CSCI
Potthastia gaedii group,CSCI
Probezzia,CSCI
Prosimulium,CSCI
Prostoma,CSCI
Protzia,CSCI
Psectrocladius,CSCI
Psephenus falli,CSCI
Pseudochironomus,CSCI
Psilometriocnemus,CSCI
Psychoglypha,CSCI
Pteronarcys,CSCI
Ptychoptera,CSCI
Ptychopteridae,CSCI
Reomyia,CSCI
Rheocricotopus,CSCI
Rheotanytarsus,CSCI
Rhithrogena,CSCI
Rhyacophila,CSCI
Rhyacophila angelita group,CSCI
Rhyacophila arnaudi,CSCI
Rhyacophila betteni group,CSCI
Rhyacophila brunnea group,CSCI
Rhyacophila coloradensis group,CSCI
Rhyacophila sibirica group,CSCI
Rhyacophila vagrita group,CSCI
Sanfilippodytes,CSCI
Scirtidae,CSCI
Serratella,CSCI
Serratella micheneri,CSCI
Sialis,CSCI
Sierraperla cora,CSCI
Simuliidae,CSCI
Simulium,CSCI
Siphlonurus,CSCI
Skwala,CSCI
Slavina appendiculata,CSCI
Soliperla,CSCI
Soyedina,CSCI
Sperchon,CSCI
Sperchonopsis,CSCI
Sphaeriidae,CSCI
Sphaerium,CSCI
Stempellinella,CSCI
Stictotarsus,CSCI
Stictotarsus striatellus,CSCI
Stilobezzia,CSCI
Stygothrombium,CSCI
Suwallia,CSCI
Sweltsa,CSCI
