scientific_name,model_abbreviation
Thaumaleidae,NV
Thienemanniella,NV
Thienemannimyia_group,NV
Timpanoga,NV
Tipula,NV
Torrenticola,NV
Triaenodes,NV
Tricorythodes,NV
Tvetenia,NV
Valvata,NV
Visoka,NV
Wandesia,NV
Wiedemannia,NV
Wormaldia,NV
Xestochironomus,NV
Ylodes,NV
Yoraperla,NV
Zaitzevia,NV
Zapada_cinctipes,NV
Zapada_columbiana,NV
Zapada_oregonensis_group,NV
Acentrella,ORWCCP
Acerpenna,ORWCCP
Acneus,ORWCCP
Agapetus,ORWCCP
Agraylea,ORWCCP
Allocosmoecus,ORWCCP
Allomyia,ORWCCP
Alloperla,ORWCCP
Ameletus,ORWCCP
Amiocentrus,ORWCCP
Amphicosmoecus_canax,ORWCCP
Amphizoa,ORWCCP
Ampumixis,ORWCCP
Anagapetus,ORWCCP
Antocha,ORWCCP
Apatania,ORWCCP
Arctopsyche,ORWCCP
Asellidae,ORWCCP
Atherix,ORWCCP
Atractelmis_wawona,ORWCCP
Attenella,ORWCCP
Baetis,ORWCCP
Blephariceridae,ORWCCP
Brachycentrus,ORWCCP
Caenis,ORWCCP
Calineuria,ORWCCP
Callibaetis,ORWCCP
Calliperla,ORWCCP
Capniidae,ORWCCP
Cascadoperla,ORWCCP
Caudatella,ORWCCP
Centroptilum,ORWCCP
Ceraclea,ORWCCP
Ceratopogoninae,ORWCCP
Chelifera/,ORWCCP
Cheumatopsyche,ORWCCP
Chimarra,ORWCCP
Chironominae,ORWCCP
Chrysomelidae,ORWCCP
Chyrandra_centralis,ORWCCP
Cinygma,ORWCCP
Cinygmula,ORWCCP
Claassenia,ORWCCP
Cleptelmis,ORWCCP
Clinocera,ORWCCP
Cnidaria,ORWCCP
Coenagrionidae,ORWCCP
Cordulegaster,ORWCCP
Corydalidae,ORWCCP
Cryptochia,ORWCCP
Cryptolabis,ORWCCP
Culicidae,ORWCCP
Cultus,ORWCCP
Curculionidae,ORWCCP
Desmona,ORWCCP
Despaxia,ORWCCP
Deuterophlebia,ORWCCP
Diamesinae,ORWCCP
Dicosmoecus,ORWCCP
Dicranota,ORWCCP
Diphetor_hageni,ORWCCP
Diura,ORWCCP
Dixa,ORWCCP
Dixella,ORWCCP
Dolichopodidae,ORWCCP
Dolophilodes,ORWCCP
Doroneuria,ORWCCP
Drunella_coloradensis/flavilinea,ORWCCP
Drunella_doddsi,ORWCCP
Drunella_grandis,ORWCCP
Drunella_pelosa,ORWCCP
Drunella_spinifera,ORWCCP
Dubiraphia,ORWCCP
Dytiscidae,ORWCCP
Ecclisocosmoecus,ORWCCP
Ecclisomyia,ORWCCP
Eogammarus,ORWCCP
Epeorus,ORWCCP
Ephemerella,ORWCCP
Ephemeridae,ORWCCP
Ephydridae,ORWCCP
Erioptera,ORWCCP
Eubrianax_edwardsi,ORWCCP
Fallceon_quilleri,ORWCCP
Farula,ORWCCP
Ferrissia,ORWCCP
Forcipomyiinae,ORWCCP
Frisonia,ORWCCP
Gammarus,ORWCCP
Glossosoma,ORWCCP
Glutops,ORWCCP
Goera,ORWCCP
Goeracea,ORWCCP
Gomphidae,ORWCCP
Gonomyia,ORWCCP
Gonomyodes,ORWCCP
Gumaga,ORWCCP
Haliplidae,ORWCCP
Haploperla,ORWCCP
Helichus,ORWCCP
Helicopsyche,ORWCCP
Hemerodromia,ORWCCP
Heptagenia,ORWCCP
Hesperoconopa,ORWCCP
Hesperoperla,ORWCCP
Hesperophylax,ORWCCP
Heterelmis,ORWCCP
Heterlimnius,ORWCCP
Heteroplectron,ORWCCP
Hexatoma,ORWCCP
Himalopsyche,ORWCCP
Hirudinea,ORWCCP
Homophylax,ORWCCP
Hyalella,ORWCCP
Hydatophylax,ORWCCP
Hydraenidae,ORWCCP
Hydrobiidae,ORWCCP
Hydrochus,ORWCCP
Hydrophilidae,ORWCCP
Hydropsyche,ORWCCP
Hydroptila,ORWCCP
Ironodes,ORWCCP
Isogenoides,ORWCCP
Isonychiidae,ORWCCP
Isoperla,ORWCCP
Juga,ORWCCP
Kathroperla,ORWCCP
Kogotus,ORWCCP
Lara,ORWCCP
Lepidostoma,ORWCCP
Leptophlebiidae,ORWCCP
Leucotrichia,ORWCCP
Leuctra,ORWCCP
Libellulidae,ORWCCP
Limnephilus,ORWCCP
Limnophila,ORWCCP
Limonia,ORWCCP
Lymnaeidae,ORWCCP
Malenka,ORWCCP
Maruina,ORWCCP
Megarcys,ORWCCP
Meringodixa,ORWCCP
Micrasema,ORWCCP
Microcylloepus,ORWCCP
Molophilus,ORWCCP
Moselia,ORWCCP
Muscidae,ORWCCP
Mystacides,ORWCCP
Narpus,ORWCCP
Neaviperla,ORWCCP
Nectopsyche,ORWCCP
Nematoda,ORWCCP
Nematomorpha,ORWCCP
Nemoura,ORWCCP
Neophylax,ORWCCP
Neoplasta,ORWCCP
Neothremma,ORWCCP
Neotrichia,ORWCCP
Nixe/Leucocruta,ORWCCP
Ochrotrichia,ORWCCP
Odontoceridae,ORWCCP
Oecetis,ORWCCP
Oligochaeta,ORWCCP
Oligophlebodes,ORWCCP
Onocosmoecus,ORWCCP
Optioservus,ORWCCP
Ordobrevia,ORWCCP
Oreogeton,ORWCCP
Ormosia,ORWCCP
Orthocladiinae,ORWCCP
Osobenus,ORWCCP
Ostracoda,ORWCCP
Ostrocerca,ORWCCP
Palaegapetus,ORWCCP
Paraleuctra,ORWCCP
Paraperla,ORWCCP
Parapsyche,ORWCCP
Paucicalcaria,ORWCCP
Pedicia,ORWCCP
Pedomoecus,ORWCCP
Pericoma/Telmatoscopus,ORWCCP
Perlinodes,ORWCCP
Perlomyia,ORWCCP
Petrophila,ORWCCP
Philocasca,ORWCCP
Phryganeidae,ORWCCP
Physa,ORWCCP
Pilaria,ORWCCP
Pisidiidae,ORWCCP
Planorbidae,ORWCCP
Plumiperla,ORWCCP
Podmosta,ORWCCP
Podonominae,ORWCCP
Polycentropodidae,ORWCCP
Procloeon,ORWCCP
Prodiamesinae,ORWCCP
Prosimulium,ORWCCP
Prostoia,ORWCCP
Prostoma,ORWCCP
Protoptila,ORWCCP
Psephenus,ORWCCP
Pseudocloeon,ORWCCP
Pseudostenophylax,ORWCCP
Psychoda,ORWCCP
Psychoglypha,ORWCCP
Psychomyia,ORWCCP
Pteronarcella,ORWCCP
Pteronarcys,ORWCCP
Ptilodactylidae,ORWCCP
Ptychopteridae,ORWCCP
Rhabdomastix,ORWCCP
Rhithrogena,ORWCCP
Rhizelmis,ORWCCP
Rhyacophila,ORWCCP
Rickera,ORWCCP
Sciomyzidae,ORWCCP
Scirtidae,ORWCCP
Serratella,ORWCCP
Setvena,ORWCCP
Sialis,ORWCCP
Sierraperla,ORWCCP
Simulium,ORWCCP
Siphlonuridae,ORWCCP
Skwala,ORWCCP
Soliperla,ORWCCP
Soyedina,ORWCCP
Stactobiella,ORWCCP
Staphylinidae,ORWCCP
Stenelmis,ORWCCP
Stenonema,ORWCCP
Stratiomyidae,ORWCCP
Suwallia,ORWCCP
Sweltsa,ORWCCP
Tabanidae,ORWCCP
Taeniopterygidae,ORWCCP
Tanypodinae,ORWCCP
Thaumalea,ORWCCP
Timpanoga_hecuba,ORWCCP
Tipula,ORWCCP
Tricorythodes,ORWCCP
Trombidiformes,ORWCCP
Turbellaria,ORWCCP
Twinnia,ORWCCP
Unionidae,ORWCCP
Visoka,ORWCCP
Wiedemannia,ORWCCP
Wormaldia,ORWCCP
Yoraperla,ORWCCP
Zaitzevia,ORWCCP
Zapada,ORWCCP
Acentrella,ORMWCF
Acneus,ORMWCF
Agapetus,ORMWCF
Agraylea,ORMWCF
Allocosmoecus,ORMWCF
Alloperla,ORMWCF
Ameletus,ORMWCF
Amiocentrus,ORMWCF
Ampumixis,ORMWCF
Anagapetus,ORMWCF
Antocha,ORMWCF
Apatania,ORMWCF
Arctopsyche,ORMWCF
Asellidae,ORMWCF
Atherix,ORMWCF
Attenella,ORMWCF
Baetis,ORMWCF
Blephariceridae,ORMWCF
Brachycentrus,ORMWCF
Caenis,ORMWCF
Calineuria,ORMWCF
Calliperla,ORMWCF
Capniidae,ORMWCF
Cascadoperla,ORMWCF
Caudatella,ORMWCF
Centroptilum,ORMWCF
Ceraclea,ORMWCF
Ceratopogoninae,ORMWCF
Chelifera_,ORMWCF
Cheumatopsyche,ORMWCF
Chironominae,ORMWCF
Chrysomelidae,ORMWCF
Chyrandra_centralis,ORMWCF
Cinygma,ORMWCF
Cinygmula,ORMWCF
Claassenia,ORMWCF
Cleptelmis,ORMWCF
Clinocera,ORMWCF
Coenagrionidae,ORMWCF
Cordulegaster,ORMWCF
Corydalidae,ORMWCF
Cryptochia,ORMWCF
Cryptolabis,ORMWCF
Culicidae,ORMWCF
Cultus,ORMWCF
Curculionidae,ORMWCF
Despaxia,ORMWCF
Diamesinae,ORMWCF
Dicosmoecus,ORMWCF
Dicranopselaphus,ORMWCF
Dicranota,ORMWCF
Diphetor_hageni,ORMWCF
Diura,ORMWCF
Dixa,ORMWCF
Dixella,ORMWCF
Dolichopodidae,ORMWCF
Dolophilodes,ORMWCF
Doroneuria,ORMWCF
Drunella_coloradensis_flavilinea,ORMWCF
Drunella_doddsi,ORMWCF
Drunella_grandis,ORMWCF
Drunella_pelosa,ORMWCF
Drunella_spinifera,ORMWCF
Dubiraphia,ORMWCF
Dytiscidae,ORMWCF
Ecclisocosmoecus,ORMWCF
Ecclisomyia,ORMWCF
Eogammarus,ORMWCF
Epeorus,ORMWCF
Ephemerella,ORMWCF
Ephemeridae,ORMWCF
Ephydridae,ORMWCF
Erioptera,ORMWCF
Eubrianax_edwardsi,ORMWCF
Fallceon_quilleri,ORMWCF
Farula,ORMWCF
Ferrissia,ORMWCF
Forcipomyiinae,ORMWCF
Frisonia,ORMWCF
Gammarus,ORMWCF
Glossosoma,ORMWCF
Glutops,ORMWCF
Goera,ORMWCF
Goeracea,ORMWCF
Gomphidae,ORMWCF
Gumaga,ORMWCF
Haliplidae,ORMWCF
Helicopsyche,ORMWCF
Hemerodromia,ORMWCF
Hesperoconopa,ORMWCF
Hesperoperla,ORMWCF
Heterlimnius,ORMWCF
Heteroplectron,ORMWCF
Hexatoma,ORMWCF
Hirudinea,ORMWCF
Hyalella,ORMWCF
Hydatophylax,ORMWCF
Hydraenidae,ORMWCF
Hydrobiidae,ORMWCF
Hydrophilidae,ORMWCF
Hydropsyche,ORMWCF
Hydroptila,ORMWCF
Ironodes,ORMWCF
Isonychiidae,ORMWCF
Isoperla,ORMWCF
Juga,ORMWCF
Kathroperla,ORMWCF
Kogotus,ORMWCF
Lara,ORMWCF
Lepidostoma,ORMWCF
Leptophlebiidae,ORMWCF
Leucotrichia,ORMWCF
Leuctra,ORMWCF
Limnephilus,ORMWCF
Limnophila,ORMWCF
Limonia,ORMWCF
Lymnaeidae,ORMWCF
Malenka,ORMWCF
Maruina,ORMWCF
Megarcys,ORMWCF
Meringodixa,ORMWCF
Micrasema,ORMWCF
Molophilus,ORMWCF
Moselia,ORMWCF
Muscidae,ORMWCF
Mystacides,ORMWCF
Narpus,ORMWCF
Neaviperla,ORMWCF
Nectopsyche,ORMWCF
Nematoda,ORMWCF
Neophylax,ORMWCF
Neoplasta,ORMWCF
Neothremma,ORMWCF
Neotrichia,ORMWCF
Nixe_Leucocruta,ORMWCF
Ochrotrichia,ORMWCF
Odontoceridae,ORMWCF
Oecetis,ORMWCF
Oligochaeta,ORMWCF
Oligophlebodes,ORMWCF
Onocosmoecus,ORMWCF
Optioservus,ORMWCF
Ordobrevia,ORMWCF
Oreogeton,ORMWCF
Orthocladiinae,ORMWCF
Ostracoda,ORMWCF
Ostrocerca,ORMWCF
Palaegapetus,ORMWCF
Paraleuctra,ORMWCF
Paraperla,ORMWCF
Parapsyche,ORMWCF
Pedicia,ORMWCF
Pericoma_Telmatoscopus,ORMWCF
Perlinodes,ORMWCF
Petrophila,ORMWCF
Philocasca,ORMWCF
Physa,ORMWCF
Pilaria,ORMWCF
Pisidiidae,ORMWCF
Planorbidae,ORMWCF
Plumiperla,ORMWCF
Podonominae,ORMWCF
Polycentropodidae,ORMWCF
Prodiamesinae,ORMWCF
Prosimulium,ORMWCF
Prostoma,ORMWCF
Protoptila,ORMWCF
Psephenus,ORMWCF
Pseudocloeon,ORMWCF
Pseudostenophylax,ORMWCF
Psychoda,ORMWCF
Psychoglypha,ORMWCF
Psychomyia,ORMWCF
Pteronarcella,ORMWCF
Pteronarcys,ORMWCF
Ptilodactylidae,ORMWCF
Ptychopteridae,ORMWCF
Rhabdomastix,ORMWCF
Rhithrogena,ORMWCF
Rhizelmis,ORMWCF
Rhyacophila,ORMWCF
Serratella,ORMWCF,
Sialis,ORMWCF
Simulium,ORMWCF
Skwala,ORMWCF
Soliperla,ORMWCF
Soyedina,ORMWCF
Staphylinidae,ORMWCF
Stenonema,ORMWCF
Stratiomyidae,ORMWCF
Suwallia,ORMWCF
Sweltsa,ORMWCF
Tabanidae,ORMWCF
Taeniopterygidae,ORMWCF
Tanypodinae,ORMWCF
Thaumalea,ORMWCF
Timpanoga_hecuba,ORMWCF
Tipula,ORMWCF
Tricorythodes,ORMWCF
Trombidiformes,ORMWCF
Turbellaria,ORMWCF
Unionidae,ORMWCF
Visoka,ORMWCF
Wiedemannia,ORMWCF
Wormaldia,ORMWCF
Yoraperla,ORMWCF
Zaitzevia,ORMWCF
Zapada,ORMWCF
Baetis,ORNBR
Brachycentrus,ORNBR
Chironominae,ORNBR
Diphetor_hageni,ORNBR
Epeorus Zaitzevia,ORNBR
Optioservus,ORNBR
Orthocladiinae,ORNBR
Rhyacophila,ORNBR
Trombidiformes,ORNBR
Acarina,COMMI
Agabus bjorkmanae,COMMI
Agabus minnesotensis adults,COMMI
Agabus obliteratus ,COMMI
Agabus semivittatus adults,COMMI
Agabus sp. adults,COMMI
Agabus austini,COMMI
Ambrysus sp. Adults,COMMI
Ametor scabrosus adults,COMMI
Anacaena sp. Adults,COMMI
Araneidae,COMMI
Archanara,COMMI
Atrichopogon sp,COMMI
Baetic tricaudatus group,COMMI
Berosus peregrinus adults,COMMI
Berosus striatus adults,COMMI
Brychius hornii adults,COMMI
Capniinae,COMMI
Capnura wanica,COMMI
Cenocorixa utahensis,COMMI
Chilo,COMMI
Choroterpes mexicanus,COMMI
Chromagrion conditum,COMMI
Cinygmula par,COMMI
Cleptelmis ornata adults,COMMI
Clinotanypus aureus,COMMI
Cordulia shurtleffii,COMMI
Corydalus texanus,COMMI
Crangonyx gracilis,COMMI
Cricotopus (Cricotopus) tremulus,COMMI
Cricotopus (Cricotopus) trifascia,COMMI
Cricotopus (Nostocladius),COMMI
Cricotopus (Nostococladius) nostocicola,COMMI
Cricotopus absurdus,COMMI
Cricotopus albiforceps,COMMI
Cricotopus cf. trifascia,COMMI
Cricotopus curtus gr,COMMI
Cricotopus isocladius,COMMI
Cricotopus isocladius group,COMMI
Cryptochironomus sorex,COMMI
Cymbiodyta sp. adults,COMMI
Dero (Dero) nivea,COMMI
Deuterophlebia coloradodensis,COMMI
Drunella doddsi,COMMI
Dubiraphia sp. adults,COMMI
Eclipidrilus palustris,COMMI
Eiseniella,COMMI
Enochrus ochraceus adults,COMMI
Enochrus pygmaeus adults,COMMI
Ephemerella dorothea/infrequens,COMMI
Erpobdella dubia,COMMI
Eukiefferiella rectangularis,COMMI
Euorthocladius,COMMI
Gymnochthebius sp. adults,COMMI
Haliplus immaculicollis adults,COMMI
Helichus striatus adults,COMMI
Helichus suturalis adults,COMMI
Helodon onychodactylus,COMMI
Helopelopia,COMMI
Helophorus sp. Adults,COMMI
Heterlimnius corpulentus adults,COMMI
Hydraena sp. Adults,COMMI
Hydroporus crassulus,COMMI
Hydroporus hybridus,COMMI
Hydroporus sp. Adults,COMMI
Hydropsyche cockerelli,COMMI
Hydropsyche slossonae,COMMI
Hydropsyche sp. ,COMMI
Hydroptila consimilis Morton,COMMI
Hydrotrupes,COMMI
Ilyodrilus/Tubifex  ,COMMI
Labrundinia becki,COMMI
Labrundinia virescens,COMMI
Laccobius agilis,COMMI
Laccobius sp. adults,COMMI
Laccodytes pumilio,COMMI
Laccophilus maculosus adults,COMMI
Laccophilus maculosus/decipiens ,COMMI
Limnodrilus maumeensis,COMMI
Liodessus obscurellus adults,COMMI
Lispoides,COMMI
Lispoides aequifrons ,COMMI
Metriocnemus hygropetricus group,COMMI
Miathyria,COMMI
Microcylloepus pusillus adults,COMMI
Micropsectra group,COMMI
Nais spp.,COMMI
Narpus concolor adults,COMMI
Nematoda,COMMI
Neoporus sp. adults,COMMI
Nixe simplicioides,COMMI
Nostococladius,COMMI
Notonecta undulata adults,COMMI
Ochthebius sp. adults,COMMI
Oecetis avara/disjuncta,COMMI
Onychylis,COMMI
Optioservus sp. adults,COMMI
Oreodytes congruus adults,COMMI
Oreodytes scitulus adults,COMMI
Orthocladiinae Heterotrissocladius,COMMI
Orthocladius complex,COMMI
Orthocladius dubitatus,COMMI
Orthocladius lignicola,COMMI
Orthocladius/Cricotopus,COMMI
Paracladopelma nigritula,COMMI
Paracymus sp. adults,COMMI
Parakiefferiella bathyphila,COMMI
Paralauterborniella nigrohalteralis,COMMI
Paratanytarsus group,COMMI
Parydra,COMMI
Peltodytes edentulus adults,COMMI
Perlomyia utahensis,COMMI
Placobdella translucens,COMMI
Polypedilum fallax group,COMMI
Pristina longiseta,COMMI
Pristina osborni,COMMI
Pristina sima,COMMI
Pristina synclites,COMMI
Pristinella longisoma,COMMI
Prosimulium onychodactylum,COMMI
Psectrocladius elatus,COMMI
Pseudochironomus group,COMMI
Psuedocloeon,COMMI
Psychoronia costalis,COMMI
Pteronarcella californica,COMMI
Pyroderces,COMMI
Rheotanytarsus pentapoda,COMMI
Rhyacophila blavina,COMMI
Rhyacophila brunnea/vemna,COMMI
Rhyacophila siberica group,COMMI
Sanfilipodytes,COMMI
Sigara trilineata adults,COMMI
Sigara washingtonensis adults,COMMI
Simulium vittatum complex,COMMI
Slavinia,COMMI
Sperchon (Palpispercon),COMMI
Sperchon crassipalpus,COMMI
Sperchon/Sperchonopsis  ,COMMI
Stempellinella bausei,COMMI
Stenelmis sp. adults,COMMI
Stictotarsus aequinoctialis adults,COMMI
Stictotarsus griseostriatus adults,COMMI
Stictotarsus striatellus adults,COMMI
Symposiocladius,COMMI
Taenionema/Doddsia,COMMI
Tanysphyrus,COMMI
Tanytarsus gregarius,COMMI
Tanytarsus group,COMMI
Thienemannimyia barberi,COMMI
Trichocorixa kanza,COMMI
Tricorythodes edmundsi,COMMI
Tricorythodes explicatus,COMMI
Tropisternus ellipticus,COMMI
Tropisternus ellipticus adults,COMMI
Tropisternus lateralis adults,COMMI
Tropisternus lateralis limbalis,COMMI
Tropisternus lateralis nimbatus adults,COMMI
Tropisternus sp. adults,COMMI
Tubificidae w/o cap. Setae,COMMI
Tubificidae w/o Capilliform Chaetae,COMMI
Tubificidae w/o hair chaetae,COMMI
Tubificidae with hair chaetae,COMMI
Tvetenia calvescens,COMMI
Tvetenia discoloripes,COMMI
Unid. Nematoda,COMMI
Uvarus lacustris adults,COMMI
Zaitzevia parvula,COMMI
Zaitzevia parvula adults,COMMI
Zapada cintipes,COMMI
Acari,UTDEQ
Acarina,UTDEQ
Acentrella,UTDEQ
Aeshna,UTDEQ
Agabus,UTDEQ
Agapetus,UTDEQ
Agraylea,UTDEQ
Allomyia,UTDEQ
Ameletus,UTDEQ
Ametor,UTDEQ
Amiocentrus,UTDEQ
Amphicosmoecus,UTDEQ
Amphinemura,UTDEQ
Amphizoa,UTDEQ
Ampumixis,UTDEQ
Anagapetus,UTDEQ
Antocha,UTDEQ
Apatania,UTDEQ
Archilestes,UTDEQ
Arctopsyche,UTDEQ
Argia,UTDEQ
Asellidae,UTDEQ
Asioplax,UTDEQ
Astacidae,UTDEQ
Atherix,UTDEQ
Attenella,UTDEQ
Baetidae_Misc,UTDEQ
Baetodes,UTDEQ
Berosus,UTDEQ
Blephariceridae,UTDEQ
Brachycentrus,UTDEQ
Brachycercus,UTDEQ
Branchiobdellida,UTDEQ
Brychius,UTDEQ
Caenis,UTDEQ
Calineuria,UTDEQ
Callibaetis,UTDEQ
Caloparyphus_Euparyphus,UTDEQ
Calopterygidae,UTDEQ
Cambaridae,UTDEQ
Camelobaetidius,UTDEQ
Capniidae,UTDEQ
Caudatella,UTDEQ
Ceraclea,UTDEQ
Ceratopogoninae,UTDEQ
Cercobrachys,UTDEQ
Chelifera_Metachela_Neoplasta,UTDEQ
Cheumatopsyche,UTDEQ
Chimarra,UTDEQ
Chironominae,UTDEQ
Chloroperlidae,UTDEQ
Choroterpes,UTDEQ
Cinygmula,UTDEQ
Claassenia_sabulosa,UTDEQ
Cleptelmis,UTDEQ
Clinocera,UTDEQ
Corbicula,UTDEQ
Cordulegaster,UTDEQ
Corixidae,UTDEQ
Corydalus,UTDEQ
Culicidae,UTDEQ
Culoptila/Protoptila,UTDEQ
Cultus,UTDEQ
Curculionidae,UTDEQ
Deuterophlebia,UTDEQ
Diamesinae,UTDEQ
Dicosmoecus,UTDEQ
Dicranota,UTDEQ
Diphetor,UTDEQ
Diura,UTDEQ
Dixa,UTDEQ
Dixella,UTDEQ
Dolichopodidae,UTDEQ
Dolophilodes,UTDEQ
Doroneuria,UTDEQ
Drunella,UTDEQ
Dubiraphia,UTDEQ
Ecclisomyia,UTDEQ
Epeorus,UTDEQ
Ephemera,UTDEQ
Ephemerella,UTDEQ
Ephoron,UTDEQ
Ephydridae,UTDEQ
Erioptera,UTDEQ
Erpobdellidae,UTDEQ
Fallceon,UTDEQ
Ferrissia,UTDEQ
Forcipomyiinae,UTDEQ
Gammarus,UTDEQ
Gelastocoris,UTDEQ
Glossiphoniidae,UTDEQ
Glossosoma,UTDEQ
Glutops,UTDEQ
Gomphidae,UTDEQ
Gumaga,UTDEQ
Gyrinus,UTDEQ
Haemopidae,UTDEQ
Haliplus,UTDEQ
Helichus,UTDEQ
Helicopsyche,UTDEQ
Helophorus,UTDEQ
Hemerodromia,UTDEQ
Heptagenia,UTDEQ
Hesperoconopa,UTDEQ
Hesperoperla,UTDEQ
Hesperophylax,UTDEQ
Heterelmis,UTDEQ
Heterlimnius,UTDEQ
Hexatoma,UTDEQ
Hyalella,UTDEQ
Hydraena,UTDEQ
Hydrobius,UTDEQ
Hydroporus,UTDEQ
Hydropsyche_Ceratopsyche,UTDEQ
Hydroptila,UTDEQ
Ironodes,UTDEQ
Isogenoides,UTDEQ
Isoperla,UTDEQ
Ithytrichia,UTDEQ
Juga,UTDEQ
Kogotus,UTDEQ
Laccobius,UTDEQ
Laccophilus,UTDEQ
Lara,UTDEQ
Lepidoptera,UTDEQ
Lepidostoma,UTDEQ
Leptophlebia,UTDEQ
Leucotrichia,UTDEQ
Leucrocuta,UTDEQ
Leuctridae,UTDEQ
Libellulidae,UTDEQ
Limnephilus,UTDEQ
Limnophila,UTDEQ
Limonia,UTDEQ
Liodessus,UTDEQ
Lymnaea,UTDEQ
Malenka,UTDEQ
Maruina,UTDEQ
Mayatrichia,UTDEQ
Megarcys,UTDEQ
Meringodixa,UTDEQ
Micrasema,UTDEQ
Microcylloepus,UTDEQ
Molophilus,UTDEQ
Muscidae,UTDEQ
Narpus,UTDEQ
Naucoridae,UTDEQ
Nectopsyche,UTDEQ
Nematoda,UTDEQ
Nematomorpha,UTDEQ
Neophylax,UTDEQ
Neothremma,UTDEQ
Neotrichia,UTDEQ
Nixe,UTDEQ
Notonectidae,UTDEQ
Ochrotrichia,UTDEQ
Ochthebius,UTDEQ
Oecetis,UTDEQ
Oligophlebodes,UTDEQ
Onocosmoecus,UTDEQ
Oplonaeschna,UTDEQ
Optioservus,UTDEQ
Ordobrevia,UTDEQ
Oreodytes,UTDEQ
Oreogeton,UTDEQ
Ormosia,UTDEQ
Orthocladiinae,UTDEQ
Other_Coenagrionidae,UTDEQ
Other_Hydrobiidae,UTDEQ
Other_Lymnaeidae,UTDEQ
Other_Oligochaeta,UTDEQ
Other_Polycentropodidae,UTDEQ
Oxyethira,UTDEQ
Paracymus,UTDEQ
Paraleptophlebia,UTDEQ
Parapsyche,UTDEQ
Pedicia,UTDEQ
Pedomoecus,UTDEQ
Peltodytes,UTDEQ
Pericoma_Telmatoscopus,UTDEQ
Physa_Physella,UTDEQ
Pisidiidae,UTDEQ
Planorbidae,UTDEQ
Podmosta,UTDEQ
Podonominae,UTDEQ
Polycentropus,UTDEQ
Postelichus,UTDEQ
Potamopyrgus_antipodarum,UTDEQ
Potamyia,UTDEQ
Prodiamesinae,UTDEQ
Psychoda,UTDEQ
Psychoglypha,UTDEQ
Psychomyia,UTDEQ
Pteronarcella,UTDEQ
Pteronarcys,UTDEQ
Ptychopteridae,UTDEQ
Rhabdomastix,UTDEQ
Rhithrogena,UTDEQ
Rhyacophila,UTDEQ
Sciomyzidae,UTDEQ
Scirtidae,UTDEQ
Serratella,UTDEQ
Sialis,UTDEQ
Simuliidae,UTDEQ
Siphlonuridae,UTDEQ
Skwala,UTDEQ
Smicridea,UTDEQ
Staphylinidae,UTDEQ
Stenacron,UTDEQ
Stenelmis,UTDEQ
Stenonema,UTDEQ
Stictotarsus,UTDEQ
Stratiomys,UTDEQ
Syrphidae,UTDEQ
Tabanidae,UTDEQ
Taeniopterygidae,UTDEQ
Tanyderidae,UTDEQ
Tanypodinae,UTDEQ
Thaumaleidae,UTDEQ
Timpanoga_hecuba,UTDEQ
Tinodes,UTDEQ
Tipula,UTDEQ
Traverella,UTDEQ
Trichoclinocera,UTDEQ
Tricorythodes,UTDEQ
Tropisternus,UTDEQ
Turbellaria,UTDEQ
Unionidae,UTDEQ
Valvata,UTDEQ
Wiedemannia,UTDEQ
Wormaldia,UTDEQ
Ylodes,UTDEQ
Zaitzevia,UTDEQ
Zapada,UTDEQ
Acentrella,AK
Aeshnidae,AK
Agabus,AK
Alaskaperla,AK
Allomyia,AK
Alloperla,AK
Ameletus,AK
Amphinemura,AK
Apatania,AK
Arctodiamesa,AK
Arcynopteryx,AK
Attenella,AK
Baetis,AK
Boreochlus,AK
Boreoheptagyia,AK
Brachycentrus,AK
Brillia,AK
Bryophaenocladius,AK
Caenis,AK
Cardiocladius,AK
Caudatella,AK
Ceratopogoninae,AK
Chaetocladius,AK
Chelifera_Metachela_Neoplasta,AK
Chironomus,AK
Cinygma,AK
Cinygmula,AK
Cladotanytarsus,AK
Clinocera,AK
Cnephia,AK
Constempellina,AK
Corixidae,AK
Corynoneura,AK
Crambidae,AK
Cricotopus,AK
Cryptochironomus,AK
Culicidae,AK
Demicryptochironomus,AK
Deuterophlebia,AK
Diamesa,AK
Dicosmoecus,AK
Dicranota,AK
Dicrotendipes,AK
Diplocladius,AK
Diura,AK
Dixa,AK
Dixella,AK
Dolichopodidae,AK
Drunella_coloradensis_flavilinea,AK
Drunella_doddsii,AK
Drunella_spinifera,AK
Ecclisocosmoecus,AK
Ecclisomyia,AK
Epeorus,AK
Ephemerella_aurivillii,AK
Ephydridae,AK
Eukiefferiella,AK
Forcipomyiinae,AK
Gammarus,AK
Glossosoma,AK
Glutops,AK
Glyphopsyche,AK
Gonomyodes,AK
Greniera,AK
Grensia,AK
Gymnopais,AK
Heleniella,AK
Helodon,AK
Hesperoconopa,AK
Hesperophylax,AK
Heterotanytarsus,AK
Heterotrissocladius,AK
Homophylax,AK
Hyalella,AK
Hydatophylax,AK
Hydraenidae,AK
Hydrobaenus,AK
Hydroptila,AK
Hydrosmittia,AK
Hydryphantidae,AK
Hygrobatidae,AK
Isoperla,AK
Krenosmittia,AK
Lappodiamesa,AK
Lebertia,AK
Leuctridae,AK
Limnophila,AK
Limnophyes,AK
Limonia,AK
Lipiniella,AK
Lymnaeidae,AK
Malenka,AK
Metacnephia,AK
